Size,TimeMicros,ArrayType,Threshold
95600,76095,0,0
95700,76242,0,0
95800,76227,0,0
95900,74147,0,0
96000,73263,0,0
96100,74581,0,0
96200,78057,0,0
96300,76263,0,0
96400,75829,0,0
96500,76477,0,0
96600,76352,0,0
96700,76086,0,0
96800,76199,0,0
96900,76789,0,0
97000,78039,0,0
97100,76540,0,0
97200,77194,0,0
97300,77736,0,0
97400,76876,0,0
97500,77209,0,0
97600,76339,0,0
97700,78399,0,0
97800,79498,0,0
97900,79177,0,0
98000,81884,0,0
98100,80905,0,0
98200,82263,0,0
98300,79337,0,0
98400,80934,0,0
98500,83865,0,0
98600,79483,0,0
98700,79665,0,0
98800,79470,0,0
98900,79378,0,0
99000,78615,0,0
99100,76443,0,0
99200,79638,0,0
99300,77842,0,0
99400,86734,0,0
99500,94349,0,0
99600,83048,0,0
99700,81955,0,0
99800,82263,0,0
99900,80529,0,0
500,252,1,0
600,301,1,0
700,352,1,0
800,383,1,0
900,435,1,0
1000,652,1,0
1100,569,1,0
1200,621,1,0
1300,644,1,0
1400,860,1,0
1500,778,1,0
1600,790,1,0
1700,986,1,0
1800,911,1,0
1900,1127,1,0
2000,1043,1,0
2100,1111,1,0
2200,1172,1,0
2300,1268,1,0
2400,1283,1,0
2500,1508,1,0
2600,1654,1,0
2700,1617,1,0
2800,1615,1,0
2900,1535,1,0
3000,1711,1,0
3100,1673,1,0
3200,1802,1,0
3300,1755,1,0
3400,1865,1,0
3500,1991,1,0
3600,2063,1,0
3700,2104,1,0
3800,2112,1,0
3900,2181,1,0
4000,2310,1,0
4100,2361,1,0
4200,2428,1,0
4300,2503,1,0
4400,2569,1,0
4500,2543,1,0
4600,2560,1,0
4700,2638,1,0
4800,3100,1,0
4900,3156,1,0
5000,2852,1,0
5100,2939,1,0
5200,2966,1,0
5300,3239,1,0
5400,3134,1,0
5500,3179,1,0
5600,3163,1,0
5700,3438,1,0
5800,3530,1,0
5900,3396,1,0
6000,4198,1,0
6100,3419,1,0
6200,3889,1,0
6300,3561,1,0
6400,3863,1,0
6500,3808,1,0
6600,3798,1,0
6700,4137,1,0
6800,4091,1,0
6900,4068,1,0
7000,4134,1,0
7100,4031,1,0
7200,4361,1,0
7300,4090,1,0
7400,4175,1,0
